force,x,y,strain,Z1,Z2,Z3,Z4,Z5,Z6,Z1-Z4,Z2-Z6,Z3-Z5,Tforce
1.5,1,1,0,1753220,4202916.8,3745473.6,1893550,3803865,4448626,-140330,-245709.2,-58391.4,1.50E+00
1.5,1,1,0,1752044,4205201.6,3755083.2,1900612.5,3813147,4433793,-148568.5,-228591.4,-58063.8,1.50E+00
1.5,1,1,0,1755390,4190690.4,3744470.4,1895887.5,3812341,4465305,-140497.5,-274614.6,-67870.6,1.49E+00
1.5,1,1,0,1754718,4203297.6,3748773.6,1897175,3804827,4449614,-142457,-246316.4,-56053.4,1.49E+00
1.5,1,1,0,1750938,4203107.2,3747572.4,1898925,3819907,4445480,-147987,-242372.8,-72334.6,1.50E+00
1.5,1,1,0,1750546,4176981.6,3740048.4,1893012.5,3822299,4446936,-142466.5,-269954.4,-82250.6,1.51E+00
1.5,1,1,0,1753976,4196932.8,3757076.4,1895800,3788135,4444817,-141824,-247884.2,-31058.6,1.50E+00
1.5,1,1,0,1751974,4203719.2,3748404,1898975,3827148,4437849,-147001,-234129.8,-78744,1.49E+00
1.5,1,1,0,1753654,4187589.6,3734214,1898225,3809091,4442984,-144571,-255394.4,-74877,1.50E+00
1.5,1,1,0,1752968,4202196,3746806.8,1893937.5,3815539,4449913,-140969.5,-247717,-68732.2,1.50E+00
1.5,1,1,0,1752702,4212668,3746965.2,1898237.5,3811470,4442399,-145535.5,-229731,-64504.8,1.50E+00
1.5,1,1,0,1750630,4194661.6,3742714.8,1896237.5,3816033,4435340,-145607.5,-240678.4,-73318.2,1.50E+00
1.5,1,1,0,1750616,4180884.8,3748285.2,1893262.5,3812991,4471662,-142646.5,-290777.2,-64705.8,1.49E+00
1.5,1,1,0,1751918,4207867.2,3740893.2,1891912.5,3806803,4433780,-139994.5,-225912.8,-65909.8,1.50E+00
1.5,1,1,0,1754816,4210124.8,3753420,1899025,3805425,4434755,-144209,-224630.2,-52005,1.50E+00
1.5,1,1,0,1750364,4181102.4,3746424,1895925,3822806,4448613,-145561,-267510.6,-76382,1.50E+00
1.5,1,1,0,1751260,4198891.2,3734728.8,1894112.5,3805503,4453046,-142852.5,-254154.8,-70774.2,1.50E+00
1.5,1,1,0,1756594,4191996,3742292.4,1888375,3798366,4442321,-131781,-250325,-56073.6,1.50E+00
1.5,1,1,0,1752212,4199639.2,3748918.8,1897812.5,3803631,4432181,-145600.5,-232541.8,-54712.2,1.50E+00
1.5,1,1,0,1749090,4192948,3758832,1895412.5,3820947,4456907,-146322.5,-263959,-62115,1.49E+00
